region,min,Q1,median,mean,Q3,max
Global3K,0,2.02E-04,3.03E-04,3.16E-04,4.18E-04,9.70E-04
Global1K,0,2.03E-04,3.04E-04,3.16E-04,4.11E-04,9.55E-04
WA,0,6.80E-05,1.68E-04,2.57E-04,4.65E-04,9.09E-04
CA,0,1.68E-04,2.69E-04,2.64E-04,3.37E-04,7.18E-04
NY,0,1.68E-04,2.35E-04,2.51E-04,3.03E-04,6.41E-04
ID,0,5.90E-05,1.35E-04,1.52E-04,2.05E-04,6.12E-04
LA,0,1.01E-04,1.35E-04,1.32E-04,1.69E-04,3.38E-04
VA,0,1.35E-04,2.35E-04,2.95E-04,4.71E-04,7.43E-04
MD-other,0,1.31E-04,1.90E-04,1.83E-04,2.52E-04,3.58E-04
JHHS-MD,0,1.38E-04,3.08E-04,3.73E-04,6.41E-04,9.50E-04
DC-other,6.72E-05,1.01E-04,1.35E-04,2.00E-04,3.20E-04,4.71E-04
JHHS-DC,0,1.01E-04,1.68E-04,2.25E-04,3.65E-04,6.21E-04